"","ID_biorollo","Especie","Tratamiento","Dias_desde_armado","Raices_debajo","Raiz_mas_larga","N_hojas_verdes"
"1",1,"Junco","Con remojo",0,0,0,14
"2",2,"Pehuajó","Con remojo",0,0,0,7
"3",3,"Totora","Con remojo",0,0,0,7
"4",4,"Junco","Con remojo",0,0,0,11
"5",6,"Totora","Con remojo",0,0,0,6
"6",7,"Pehuajó","Con remojo",0,0,0,5
"7",9,"Pehuajó","Con remojo",0,0,0,5
"8",10,"Totora","Con remojo",0,0,0,4
"9",12,"Junco","Con remojo",0,0,0,13
"10",13,"Pehuajó","Con remojo",0,0,0,8
"11",16,"Totora","Con remojo",0,0,0,5
"12",17,"Totora","Con remojo",0,0,0,7
"13",20,"Pehuajó","Con remojo",0,0,0,6
"14",21,"Junco","Con remojo",0,0,0,10
"15",22,"Totora","Con remojo",0,0,0,8
"16",23,"Pehuajó","Con remojo",0,0,0,4
"17",24,"Junco","Con remojo",0,0,0,8
"18",25,"Totora","Sin remojo",0,0,0,8
"19",26,"Junco","Sin remojo",0,0,0,16
"20",27,"Pehuajó","Sin remojo",0,0,0,4
"21",29,"Junco","Sin remojo",0,0,0,6
"22",30,"Pehuajó","Sin remojo",0,0,0,4
"23",31,"Pehuajó","Sin remojo",0,0,0,8
"24",36,"Junco","Sin remojo",0,0,0,13
"25",38,"Junco","Sin remojo",0,0,0,15
"26",39,"Totora","Sin remojo",0,0,0,6
"27",40,"Junco","Sin remojo",0,0,0,12
"28",41,"Pehuajó","Sin remojo",0,0,0,5
"29",42,"Pehuajó","Sin remojo",0,0,0,6
"30",43,"Totora","Sin remojo",0,0,0,7
"31",44,"Totora","Sin remojo",0,0,0,5
"32",45,"Pehuajó","Sin remojo",0,0,0,8
"33",48,"Junco","Sin remojo",0,0,0,10
"34",49,"Junco","Con remojo",0,0,0,14
"35",50,"Pehuajó","Con remojo",0,0,0,7
"36",51,"Totora","Con remojo",0,0,0,5
"37",52,"Junco","Con remojo",0,0,0,11
"38",54,"Totora","Con remojo",0,0,0,7
"39",55,"Pehuajó","Con remojo",0,0,0,5
"40",57,"Pehuajó","Con remojo",0,0,0,5
"41",58,"Totora","Con remojo",0,0,0,4
"42",60,"Junco","Con remojo",0,0,0,15
"43",61,"Pehuajó","Con remojo",0,0,0,8
"44",64,"Totora","Con remojo",0,0,0,6
"45",65,"Totora","Con remojo",0,0,0,7
"46",68,"Pehuajó","Con remojo",0,0,0,6
"47",69,"Junco","Con remojo",0,0,0,10
"48",70,"Totora","Con remojo",0,0,0,8
"49",71,"Pehuajó","Con remojo",0,0,0,5
"50",72,"Junco","Con remojo",0,0,0,8
"51",73,"Totora","Sin remojo",0,0,0,7
"52",74,"Junco","Sin remojo",0,0,0,16
"53",75,"Pehuajó","Sin remojo",0,0,0,4
"54",77,"Junco","Sin remojo",0,0,0,6
"55",78,"Pehuajó","Sin remojo",0,0,0,5
"56",79,"Pehuajó","Sin remojo",0,0,0,8
"57",84,"Junco","Sin remojo",0,0,0,13
"58",86,"Junco","Sin remojo",0,0,0,15
"59",87,"Totora","Sin remojo",0,0,0,6
"60",88,"Junco","Sin remojo",0,0,0,12
"61",89,"Pehuajó","Sin remojo",0,0,0,6
"62",90,"Pehuajó","Sin remojo",0,0,0,7
"63",91,"Totora","Sin remojo",0,0,0,7
"64",92,"Totora","Sin remojo",0,0,0,5
"65",93,"Pehuajó","Sin remojo",0,0,0,8
"66",96,"Junco","Sin remojo",0,0,0,10
"67",1,"Junco","Con remojo",12,0,0,14
"68",2,"Pehuajó","Con remojo",12,0,0,6
"69",3,"Totora","Con remojo",12,0,0,6
"70",4,"Junco","Con remojo",12,0,0,9
"71",6,"Totora","Con remojo",12,0,0,6
"72",7,"Pehuajó","Con remojo",12,0,0,5
"73",9,"Pehuajó","Con remojo",12,0,0,4
"74",10,"Totora","Con remojo",12,0,0,3
"75",12,"Junco","Con remojo",12,0,0,13
"76",13,"Pehuajó","Con remojo",12,0,0,11
"77",16,"Totora","Con remojo",12,0,0,5
"78",17,"Totora","Con remojo",12,0,0,6
"79",20,"Pehuajó","Con remojo",12,0,0,6
"80",21,"Junco","Con remojo",12,0,0,10
"81",22,"Totora","Con remojo",12,0,0,8
"82",23,"Pehuajó","Con remojo",12,0,0,6
"83",24,"Junco","Con remojo",12,0,0,13
"84",25,"Totora","Sin remojo",12,0,0,6
"85",26,"Junco","Sin remojo",12,0,0,19
"86",27,"Pehuajó","Sin remojo",12,0,0,4
"87",29,"Junco","Sin remojo",12,0,0,8
"88",30,"Pehuajó","Sin remojo",12,0,0,5
"89",31,"Pehuajó","Sin remojo",12,0,0,10
"90",36,"Junco","Sin remojo",12,0,0,10
"91",38,"Junco","Sin remojo",12,0,0,16
"92",39,"Totora","Sin remojo",12,0,0,6
"93",40,"Junco","Sin remojo",12,0,0,17
"94",41,"Pehuajó","Sin remojo",12,0,0,6
"95",42,"Pehuajó","Sin remojo",12,0,0,9
"96",43,"Totora","Sin remojo",12,0,0,5
"97",44,"Totora","Sin remojo",12,0,0,4
"98",45,"Pehuajó","Sin remojo",12,0,0,8
"99",48,"Junco","Sin remojo",12,0,0,13
"100",49,"Junco","Con remojo",12,0,0,14
"101",50,"Pehuajó","Con remojo",12,0,0,7
"102",51,"Totora","Con remojo",12,0,0,6
"103",52,"Junco","Con remojo",12,0,0,12
"104",54,"Totora","Con remojo",12,0,0,6
"105",55,"Pehuajó","Con remojo",12,0,0,5
"106",57,"Pehuajó","Con remojo",12,1,0.8,4
"107",58,"Totora","Con remojo",12,0,0,2
"108",60,"Junco","Con remojo",12,0,0,15
"109",61,"Pehuajó","Con remojo",12,0,0,11
"110",64,"Totora","Con remojo",12,0,0,5
"111",65,"Totora","Con remojo",12,0,0,7
"112",68,"Pehuajó","Con remojo",12,0,0,6
"113",69,"Junco","Con remojo",12,0,0,10
"114",70,"Totora","Con remojo",12,0,0,7
"115",71,"Pehuajó","Con remojo",12,0,0,5
"116",72,"Junco","Con remojo",12,0,0,13
"117",73,"Totora","Sin remojo",12,0,0,6
"118",74,"Junco","Sin remojo",12,0,0,18
"119",75,"Pehuajó","Sin remojo",12,0,0,4
"120",77,"Junco","Sin remojo",12,0,0,8
"121",78,"Pehuajó","Sin remojo",12,0,0,4
"122",79,"Pehuajó","Sin remojo",12,0,0,8
"123",84,"Junco","Sin remojo",12,0,0,13
"124",86,"Junco","Sin remojo",12,0,0,17
"125",87,"Totora","Sin remojo",12,0,0,6
"126",88,"Junco","Sin remojo",12,0,0,18
"127",89,"Pehuajó","Sin remojo",12,0,0,6
"128",90,"Pehuajó","Sin remojo",12,0,0,9
"129",91,"Totora","Sin remojo",12,0,0,5
"130",92,"Totora","Sin remojo",12,0,0,5
"131",93,"Pehuajó","Sin remojo",12,0,0,8
"132",96,"Junco","Sin remojo",12,0,0,13
"133",1,"Junco","Con remojo",37,0,0,13
"134",2,"Pehuajó","Con remojo",37,0,0,8
"135",3,"Totora","Con remojo",37,0,0,7
"136",4,"Junco","Con remojo",37,0,0,12
"137",6,"Totora","Con remojo",37,0,0,5
"138",7,"Pehuajó","Con remojo",37,0,0,6
"139",9,"Pehuajó","Con remojo",37,1,2,3
"140",10,"Totora","Con remojo",37,0,0,1
"141",12,"Junco","Con remojo",37,0,0,15
"142",13,"Pehuajó","Con remojo",37,1,0.5,9
"143",16,"Totora","Con remojo",37,0,0,3
"144",17,"Totora","Con remojo",37,0,0,7
"145",20,"Pehuajó","Con remojo",37,1,0.2,7
"146",21,"Junco","Con remojo",37,0,0,13
"147",22,"Totora","Con remojo",37,0,0,8
"148",23,"Pehuajó","Con remojo",37,0,0,4
"149",24,"Junco","Con remojo",37,0,0,12
"150",25,"Totora","Sin remojo",37,0,0,7
"151",26,"Junco","Sin remojo",37,0,0,16
"152",27,"Pehuajó","Sin remojo",37,0,0,4
"153",29,"Junco","Sin remojo",37,0,0,12
"154",30,"Pehuajó","Sin remojo",37,1,1,7
"155",31,"Pehuajó","Sin remojo",37,1,1.5,10
"156",36,"Junco","Sin remojo",37,0,0,13
"157",38,"Junco","Sin remojo",37,0,0,20
"158",39,"Totora","Sin remojo",37,0,0,5
"159",40,"Junco","Sin remojo",37,0,0,21
"160",41,"Pehuajó","Sin remojo",37,1,2,7
"161",42,"Pehuajó","Sin remojo",37,0,0,5
"162",43,"Totora","Sin remojo",37,0,0,4
"163",44,"Totora","Sin remojo",37,0,0,4
"164",45,"Pehuajó","Sin remojo",37,1,4,6
"165",48,"Junco","Sin remojo",37,0,0,16
"166",49,"Junco","Con remojo",37,0,0,17
"167",50,"Pehuajó","Con remojo",37,0,0,9
"168",51,"Totora","Con remojo",37,0,0,8
"169",52,"Junco","Con remojo",37,0,0,12
"170",54,"Totora","Con remojo",37,0,0,5
"171",55,"Pehuajó","Con remojo",37,0,0,6
"172",57,"Pehuajó","Con remojo",37,1,2.5,3
"173",58,"Totora","Con remojo",37,0,0,1
"174",60,"Junco","Con remojo",37,0,0,16
"175",61,"Pehuajó","Con remojo",37,1,1,9
"176",64,"Totora","Con remojo",37,0,0,4
"177",65,"Totora","Con remojo",37,0,0,8
"178",68,"Pehuajó","Con remojo",37,1,1,7
"179",69,"Junco","Con remojo",37,0,0,14
"180",70,"Totora","Con remojo",37,0,0,8
"181",71,"Pehuajó","Con remojo",37,0,0,4
"182",72,"Junco","Con remojo",37,0,0,13
"183",73,"Totora","Sin remojo",37,0,0,7
"184",74,"Junco","Sin remojo",37,0,0,15
"185",75,"Pehuajó","Sin remojo",37,1,2,4
"186",77,"Junco","Sin remojo",37,0,0,11
"187",78,"Pehuajó","Sin remojo",37,1,2,7
"188",79,"Pehuajó","Sin remojo",37,1,2,11
"189",84,"Junco","Sin remojo",37,0,0,14
"190",86,"Junco","Sin remojo",37,0,0,20
"191",87,"Totora","Sin remojo",37,0,0,6
"192",88,"Junco","Sin remojo",37,0,0,22
"193",89,"Pehuajó","Sin remojo",37,1,2.5,7
"194",90,"Pehuajó","Sin remojo",37,0,0,7
"195",91,"Totora","Sin remojo",37,0,0,4
"196",92,"Totora","Sin remojo",37,0,0,5
"197",93,"Pehuajó","Sin remojo",37,1,5.5,6
"198",96,"Junco","Sin remojo",37,0,0,16
"199",1,"Junco","Con remojo",58,0,0,18
"200",2,"Pehuajó","Con remojo",58,1,2.5,8
"201",3,"Totora","Con remojo",58,1,2,8
"202",4,"Junco","Con remojo",58,0,0,13
"203",6,"Totora","Con remojo",58,0,0,6
"204",7,"Pehuajó","Con remojo",58,1,0.5,6
"205",9,"Pehuajó","Con remojo",58,1,5,4
"206",10,"Totora","Con remojo",58,0,0,4
"207",12,"Junco","Con remojo",58,0,0,18
"208",13,"Pehuajó","Con remojo",58,1,3,10
"209",16,"Totora","Con remojo",58,0,0,5
"210",17,"Totora","Con remojo",58,0,0,10
"211",20,"Pehuajó","Con remojo",58,1,3,5
"212",21,"Junco","Con remojo",58,0,0,20
"213",22,"Totora","Con remojo",58,0,0,8
"214",23,"Pehuajó","Con remojo",58,0,0,4
"215",24,"Junco","Con remojo",58,0,0,12
"216",25,"Totora","Sin remojo",58,0,0,6
"217",26,"Junco","Sin remojo",58,1,0.2,17
"218",27,"Pehuajó","Sin remojo",58,1,7.5,4
"219",29,"Junco","Sin remojo",58,0,0,8
"220",30,"Pehuajó","Sin remojo",58,1,6,8
"221",31,"Pehuajó","Sin remojo",58,1,7,12
"222",36,"Junco","Sin remojo",58,0,0,22
"223",38,"Junco","Sin remojo",58,0,0,23
"224",39,"Totora","Sin remojo",58,0,0,8
"225",40,"Junco","Sin remojo",58,1,3.5,25
"226",41,"Pehuajó","Sin remojo",58,1,8,9
"227",42,"Pehuajó","Sin remojo",58,0,0,8
"228",43,"Totora","Sin remojo",58,0,0,6
"229",44,"Totora","Sin remojo",58,0,0,7
"230",45,"Pehuajó","Sin remojo",58,1,10,9
"231",48,"Junco","Sin remojo",58,1,6,16
"232",49,"Junco","Con remojo",58,0,0,18
"233",50,"Pehuajó","Con remojo",58,1,3,8
"234",51,"Totora","Con remojo",58,1,2,7
"235",52,"Junco","Con remojo",58,0,0,13
"236",54,"Totora","Con remojo",58,0,0,6
"237",55,"Pehuajó","Con remojo",58,1,0.5,5
"238",57,"Pehuajó","Con remojo",58,1,5,4
"239",58,"Totora","Con remojo",58,0,0,4
"240",60,"Junco","Con remojo",58,0,0,19
"241",61,"Pehuajó","Con remojo",58,1,4,11
"242",64,"Totora","Con remojo",58,0,0,6
"243",65,"Totora","Con remojo",58,0,0,8
"244",68,"Pehuajó","Con remojo",58,1,3,5
"245",69,"Junco","Con remojo",58,0,0,18
"246",70,"Totora","Con remojo",58,0,0,8
"247",71,"Pehuajó","Con remojo",58,0,0,4
"248",72,"Junco","Con remojo",58,0,0,13
"249",73,"Totora","Sin remojo",58,0,0,5
"250",74,"Junco","Sin remojo",58,1,1,13
"251",75,"Pehuajó","Sin remojo",58,1,9,4
"252",77,"Junco","Sin remojo",58,0,0,7
"253",78,"Pehuajó","Sin remojo",58,1,7,7
"254",79,"Pehuajó","Sin remojo",58,1,9,12
"255",84,"Junco","Sin remojo",58,1,2.5,22
"256",86,"Junco","Sin remojo",58,0,0,23
"257",87,"Totora","Sin remojo",58,0,0,6
"258",88,"Junco","Sin remojo",58,1,4.5,23
"259",89,"Pehuajó","Sin remojo",58,1,9,7
"260",90,"Pehuajó","Sin remojo",58,0,0,10
"261",91,"Totora","Sin remojo",58,0,0,5
"262",92,"Totora","Sin remojo",58,0,0,7
"263",93,"Pehuajó","Sin remojo",58,1,15,9
"264",96,"Junco","Sin remojo",58,1,8,15
"265",1,"Junco","Con remojo",82,1,3,12
"266",2,"Pehuajó","Con remojo",82,1,5,6
"267",3,"Totora","Con remojo",82,1,7,7
"268",4,"Junco","Con remojo",82,1,5.5,9
"269",6,"Totora","Con remojo",82,1,3,6
"270",7,"Pehuajó","Con remojo",82,1,4.5,5
"271",9,"Pehuajó","Con remojo",82,1,15,5
"272",10,"Totora","Con remojo",82,1,3,6
"273",12,"Junco","Con remojo",82,0,0,13
"274",13,"Pehuajó","Con remojo",82,1,9.5,10
"275",16,"Totora","Con remojo",82,1,7,6
"276",17,"Totora","Con remojo",82,0,0,10
"277",20,"Pehuajó","Con remojo",82,1,7,6
"278",21,"Junco","Con remojo",82,1,2,24
"279",22,"Totora","Con remojo",82,1,0,5
"280",23,"Pehuajó","Con remojo",82,0,0,6
"281",24,"Junco","Con remojo",82,1,8,9
"282",25,"Totora","Sin remojo",82,0,0,7
"283",26,"Junco","Sin remojo",82,1,3,13
"284",27,"Pehuajó","Sin remojo",82,1,19,6
"285",29,"Junco","Sin remojo",82,0,0,10
"286",30,"Pehuajó","Sin remojo",82,1,18,5
"287",31,"Pehuajó","Sin remojo",82,1,16,12
"288",36,"Junco","Sin remojo",82,1,6,26
"289",38,"Junco","Sin remojo",82,0,0,23
"290",39,"Totora","Sin remojo",82,1,3,5
"291",40,"Junco","Sin remojo",82,1,14,25
"292",41,"Pehuajó","Sin remojo",82,1,21,8
"293",42,"Pehuajó","Sin remojo",82,1,1,10
"294",43,"Totora","Sin remojo",82,0,0,6
"295",44,"Totora","Sin remojo",82,1,0,6
"296",45,"Pehuajó","Sin remojo",82,1,23,7
"297",48,"Junco","Sin remojo",82,1,17,18
"298",49,"Junco","Con remojo",82,1,3.5,13
"299",50,"Pehuajó","Con remojo",82,1,4.5,6
"300",51,"Totora","Con remojo",82,1,10,9
"301",52,"Junco","Con remojo",82,1,8,10
"302",54,"Totora","Con remojo",82,1,3.5,6
"303",55,"Pehuajó","Con remojo",82,1,4.5,6
"304",57,"Pehuajó","Con remojo",82,1,16,5
"305",58,"Totora","Con remojo",82,1,3,6
"306",60,"Junco","Con remojo",82,0,0,17
"307",61,"Pehuajó","Con remojo",82,1,10,12
"308",64,"Totora","Con remojo",82,1,0,7
"309",65,"Totora","Con remojo",82,0,0,10
"310",68,"Pehuajó","Con remojo",82,1,6,6
"311",69,"Junco","Con remojo",82,1,12,27
"312",70,"Totora","Con remojo",82,1,0,5
"313",71,"Pehuajó","Con remojo",82,0,0,7
"314",72,"Junco","Con remojo",82,1,5,15
"315",73,"Totora","Sin remojo",82,0,0,7
"316",74,"Junco","Sin remojo",82,1,3,12
"317",75,"Pehuajó","Sin remojo",82,1,20,7
"318",77,"Junco","Sin remojo",82,0,0,9
"319",78,"Pehuajó","Sin remojo",82,1,20,6
"320",79,"Pehuajó","Sin remojo",82,1,18,11
"321",84,"Junco","Sin remojo",82,1,8,24
"322",86,"Junco","Sin remojo",82,0,0,23
"323",87,"Totora","Sin remojo",82,1,6,5
"324",88,"Junco","Sin remojo",82,1,10,28
"325",89,"Pehuajó","Sin remojo",82,1,21,8
"326",90,"Pehuajó","Sin remojo",82,1,1,14
"327",91,"Totora","Sin remojo",82,1,2,7
"328",92,"Totora","Sin remojo",82,1,5,7
"329",93,"Pehuajó","Sin remojo",82,1,18,6
"330",96,"Junco","Sin remojo",82,1,16,20
"331",1,"Junco","Con remojo",93,1,5,14
"332",2,"Pehuajó","Con remojo",93,1,10,7
"333",3,"Totora","Con remojo",93,1,14,7
"334",4,"Junco","Con remojo",93,1,10,14
"335",6,"Totora","Con remojo",93,1,7,6
"336",7,"Pehuajó","Con remojo",93,1,6,6
"337",9,"Pehuajó","Con remojo",93,1,19,5
"338",10,"Totora","Con remojo",93,1,4,7
"339",12,"Junco","Con remojo",93,0,0,17
"340",13,"Pehuajó","Con remojo",93,1,15,10
"341",16,"Totora","Con remojo",93,1,6,7
"342",17,"Totora","Con remojo",93,1,1,10
"343",20,"Pehuajó","Con remojo",93,1,8,6
"344",21,"Junco","Con remojo",93,1,18,26
"345",22,"Totora","Con remojo",93,1,0,5
"346",23,"Pehuajó","Con remojo",93,0,0,6
"347",24,"Junco","Con remojo",93,1,10,17
"348",25,"Totora","Sin remojo",93,1,7,7
"349",26,"Junco","Sin remojo",93,1,3,12
"350",27,"Pehuajó","Sin remojo",93,1,21,7
"351",29,"Junco","Sin remojo",93,0,0,8
"352",30,"Pehuajó","Sin remojo",93,1,23,6
"353",31,"Pehuajó","Sin remojo",93,1,22,12
"354",36,"Junco","Sin remojo",93,1,11,27
"355",38,"Junco","Sin remojo",93,0,0,22
"356",39,"Totora","Sin remojo",93,1,8,6
"357",40,"Junco","Sin remojo",93,1,15,28
"358",41,"Pehuajó","Sin remojo",93,1,24,9
"359",42,"Pehuajó","Sin remojo",93,1,4,15
"360",43,"Totora","Sin remojo",93,1,7,8
"361",44,"Totora","Sin remojo",93,1,0,6
"362",45,"Pehuajó","Sin remojo",93,1,20,9
"363",48,"Junco","Sin remojo",93,1,26,19
"364",49,"Junco","Con remojo",93,1,7.5,15
"365",50,"Pehuajó","Con remojo",93,1,10,7
"366",51,"Totora","Con remojo",93,1,18.5,5
"367",52,"Junco","Con remojo",93,1,16,13
"368",54,"Totora","Con remojo",93,1,4,5
"369",55,"Pehuajó","Con remojo",93,1,7,6
"370",57,"Pehuajó","Con remojo",93,1,22,5
"371",58,"Totora","Con remojo",93,1,7,6
"372",60,"Junco","Con remojo",93,0,0,13
"373",61,"Pehuajó","Con remojo",93,1,12,9
"374",64,"Totora","Con remojo",93,1,0,6
"375",65,"Totora","Con remojo",93,1,6,8
"376",68,"Pehuajó","Con remojo",93,1,11,6
"377",69,"Junco","Con remojo",93,1,15,25
"378",70,"Totora","Con remojo",93,1,0,5
"379",71,"Pehuajó","Con remojo",93,0,0,9
"380",72,"Junco","Con remojo",93,1,11.5,14
"381",73,"Totora","Sin remojo",93,1,7,7
"382",74,"Junco","Sin remojo",93,1,2,12
"383",75,"Pehuajó","Sin remojo",93,1,28,7
"384",77,"Junco","Sin remojo",93,0,0,5
"385",78,"Pehuajó","Sin remojo",93,1,26,7
"386",79,"Pehuajó","Sin remojo",93,1,23,12
"387",84,"Junco","Sin remojo",93,1,13,25
"388",86,"Junco","Sin remojo",93,0,0,22
"389",87,"Totora","Sin remojo",93,1,9,6
"390",88,"Junco","Sin remojo",93,1,22,28
"391",89,"Pehuajó","Sin remojo",93,1,23,9
"392",90,"Pehuajó","Sin remojo",93,1,3,15
"393",91,"Totora","Sin remojo",93,1,9,8
"394",92,"Totora","Sin remojo",93,1,11,6
"395",93,"Pehuajó","Sin remojo",93,1,25,11
"396",96,"Junco","Sin remojo",93,1,29,19
